"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify user can be:
        1. Created
        2. Retrieved
        3. Deleted

        User Data:Alice","1904","Create User - Alice","","2026-06-13","passed","2026-06-13","","Practice\PetStore.test.ts","",""
"
        Verify user can be:
        1. Created
        2. Retrieved
        3. Deleted

        User Data:Bob","1778","Create User - Bob","","2026-06-13","failed","2026-06-13","","Practice\PetStore.test.ts","",""
"
        Verify user can be:
        1. Created
        2. Retrieved
        3. Deleted

        User Data:John","4546","Create User - John","","2026-06-13","passed","2026-06-13","","Practice\PetStore.test.ts","",""
